"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "94", "ReadersWritersSemaphore.java:71", "Line Step", "file=ReadersWritersSemaphore.java, line=71"
"main", "95", "ReadersWritersSemaphore.java:71", "Field Write", "context=Writer:4, x=1000"
"main", "96", "ReadersWritersSemaphore.java:72", "Line Step", "file=ReadersWritersSemaphore.java, line=72"
"main", "97", "ReadersWritersSemaphore.java:72", "Method Exit", "returner=Writer:4#Writer:4, value=<void>"
"main", "98", "ReadersWritersSemaphore.java:17", "Method Returned", ""
"main", "99", "ReadersWritersSemaphore.java:17", "Line Step", "file=ReadersWritersSemaphore.java, line=17"
"main", "100", "ReadersWritersSemaphore.java:17", "Variable Write", "context=ReadersWritersSemaphore#main:1, w4=Writer:4"
"main", "101", "ReadersWritersSemaphore.java:18", "Line Step", "file=ReadersWritersSemaphore.java, line=18"
"main", "102", "ReadersWritersSemaphore.java:18", "New Object", "object=Writer:5"
"main", "103", "ReadersWritersSemaphore.java:18", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Writer:5#Writer:5"
"main", "104", "ReadersWritersSemaphore.java:69", "Method Entered", ""
"main", "105", "ReadersWritersSemaphore.java:69", "Variable Write", "context=Writer:5#Writer:5, d=Database:1"
"main", "106", "ReadersWritersSemaphore.java:69", "Variable Write", "context=Writer:5#Writer:5, x=10000"
"main", "107", "ReadersWritersSemaphore.java:69", "Line Step", "file=ReadersWritersSemaphore.java, line=69"
"main", "108", "ReadersWritersSemaphore.java:70", "Line Step", "file=ReadersWritersSemaphore.java, line=70"
"main", "109", "ReadersWritersSemaphore.java:70", "Field Write", "context=Writer:5, d=Database:1"
"main", "110", "ReadersWritersSemaphore.java:71", "Line Step", "file=ReadersWritersSemaphore.java, line=71"
"main", "111", "ReadersWritersSemaphore.java:71", "Field Write", "context=Writer:5, x=10000"
"main", "112", "ReadersWritersSemaphore.java:72", "Line Step", "file=ReadersWritersSemaphore.java, line=72"
"main", "113", "ReadersWritersSemaphore.java:72", "Method Exit", "returner=Writer:5#Writer:5, value=<void>"
"main", "114", "ReadersWritersSemaphore.java:18", "Method Returned", ""
"main", "115", "ReadersWritersSemaphore.java:18", "Line Step", "file=ReadersWritersSemaphore.java, line=18"
"main", "116", "ReadersWritersSemaphore.java:18", "Variable Write", "context=ReadersWritersSemaphore#main:1, w5=Writer:5"
"main", "117", "ReadersWritersSemaphore.java:19", "Line Step", "file=ReadersWritersSemaphore.java, line=19"
"main", "118", "SYSTEM", "Type Load", "class=Reader"
"main", "119", "ReadersWritersSemaphore.java:19", "New Object", "object=Reader:1"
"main", "120", "ReadersWritersSemaphore.java:19", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:1#Reader:1"
"main", "121", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "122", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:1#Reader:1, d=Database:1"
"main", "123", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "124", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "125", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:1, d=Database:1"
"main", "126", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "127", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:1#Reader:1, value=<void>"
"main", "128", "ReadersWritersSemaphore.java:19", "Method Returned", ""
"main", "129", "ReadersWritersSemaphore.java:19", "Line Step", "file=ReadersWritersSemaphore.java, line=19"
"main", "130", "ReadersWritersSemaphore.java:19", "Variable Write", "context=ReadersWritersSemaphore#main:1, r1=Reader:1"
"main", "131", "ReadersWritersSemaphore.java:20", "Line Step", "file=ReadersWritersSemaphore.java, line=20"
"main", "132", "ReadersWritersSemaphore.java:20", "New Object", "object=Reader:2"
"main", "133", "ReadersWritersSemaphore.java:20", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:2#Reader:2"
"main", "134", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "135", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:2#Reader:2, d=Database:1"
"main", "136", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "137", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "138", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:2, d=Database:1"
"main", "139", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "140", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:2#Reader:2, value=<void>"
"main", "141", "ReadersWritersSemaphore.java:20", "Method Returned", ""
"main", "142", "ReadersWritersSemaphore.java:20", "Line Step", "file=ReadersWritersSemaphore.java, line=20"
"main", "143", "ReadersWritersSemaphore.java:20", "Variable Write", "context=ReadersWritersSemaphore#main:1, r2=Reader:2"
"main", "144", "ReadersWritersSemaphore.java:21", "Line Step", "file=ReadersWritersSemaphore.java, line=21"
"main", "145", "ReadersWritersSemaphore.java:21", "New Object", "object=Reader:3"
"main", "146", "ReadersWritersSemaphore.java:21", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:3#Reader:3"
"main", "147", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "148", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:3#Reader:3, d=Database:1"
"main", "149", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "150", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "151", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:3, d=Database:1"
"main", "152", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "153", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:3#Reader:3, value=<void>"
"main", "154", "ReadersWritersSemaphore.java:21", "Method Returned", ""
"main", "155", "ReadersWritersSemaphore.java:21", "Line Step", "file=ReadersWritersSemaphore.java, line=21"
"main", "156", "ReadersWritersSemaphore.java:21", "Variable Write", "context=ReadersWritersSemaphore#main:1, r3=Reader:3"
"main", "157", "ReadersWritersSemaphore.java:22", "Line Step", "file=ReadersWritersSemaphore.java, line=22"
"main", "158", "ReadersWritersSemaphore.java:22", "New Object", "object=Reader:4"
"main", "159", "ReadersWritersSemaphore.java:22", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:4#Reader:4"
"main", "160", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "161", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:4#Reader:4, d=Database:1"
"main", "162", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "163", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "164", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:4, d=Database:1"
"main", "165", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "166", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:4#Reader:4, value=<void>"
"main", "167", "ReadersWritersSemaphore.java:22", "Method Returned", ""
"main", "168", "ReadersWritersSemaphore.java:22", "Line Step", "file=ReadersWritersSemaphore.java, line=22"
"main", "169", "ReadersWritersSemaphore.java:22", "Variable Write", "context=ReadersWritersSemaphore#main:1, r4=Reader:4"
"main", "170", "ReadersWritersSemaphore.java:23", "Line Step", "file=ReadersWritersSemaphore.java, line=23"
"main", "171", "ReadersWritersSemaphore.java:23", "New Object", "object=Reader:5"
"main", "172", "ReadersWritersSemaphore.java:23", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:5#Reader:5"
"main", "173", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "174", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:5#Reader:5, d=Database:1"
"main", "175", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "176", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "177", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:5, d=Database:1"
"main", "178", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "179", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:5#Reader:5, value=<void>"
"main", "180", "ReadersWritersSemaphore.java:23", "Method Returned", ""
"main", "181", "ReadersWritersSemaphore.java:23", "Line Step", "file=ReadersWritersSemaphore.java, line=23"
"main", "182", "ReadersWritersSemaphore.java:23", "Variable Write", "context=ReadersWritersSemaphore#main:1, r5=Reader:5"
"main", "183", "ReadersWritersSemaphore.java:24", "Line Step", "file=ReadersWritersSemaphore.java, line=24"
"main", "184", "ReadersWritersSemaphore.java:24", "New Object", "object=Reader:6"
"main", "185", "ReadersWritersSemaphore.java:24", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:6#Reader:6"
"main", "186", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "187", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:6#Reader:6, d=Database:1"
"main", "188", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "189", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "190", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:6, d=Database:1"
"main", "191", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "192", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:6#Reader:6, value=<void>"
"main", "193", "ReadersWritersSemaphore.java:24", "Method Returned", ""
"main", "194", "ReadersWritersSemaphore.java:24", "Line Step", "file=ReadersWritersSemaphore.java, line=24"
"main", "195", "ReadersWritersSemaphore.java:24", "Variable Write", "context=ReadersWritersSemaphore#main:1, r6=Reader:6"
"main", "196", "ReadersWritersSemaphore.java:25", "Line Step", "file=ReadersWritersSemaphore.java, line=25"
"main", "197", "ReadersWritersSemaphore.java:25", "New Object", "object=Reader:7"
"main", "198", "ReadersWritersSemaphore.java:25", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:7#Reader:7"
"main", "199", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "200", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:7#Reader:7, d=Database:1"
"main", "201", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "202", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "203", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:7, d=Database:1"
"main", "204", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "205", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:7#Reader:7, value=<void>"
"main", "206", "ReadersWritersSemaphore.java:25", "Method Returned", ""
"main", "207", "ReadersWritersSemaphore.java:25", "Line Step", "file=ReadersWritersSemaphore.java, line=25"
"main", "208", "ReadersWritersSemaphore.java:25", "Variable Write", "context=ReadersWritersSemaphore#main:1, r7=Reader:7"
"main", "209", "ReadersWritersSemaphore.java:26", "Line Step", "file=ReadersWritersSemaphore.java, line=26"
"main", "210", "ReadersWritersSemaphore.java:26", "New Object", "object=Reader:8"
"main", "211", "ReadersWritersSemaphore.java:26", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:8#Reader:8"
"main", "212", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "213", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:8#Reader:8, d=Database:1"
"main", "214", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "215", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "216", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:8, d=Database:1"
"main", "217", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "218", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:8#Reader:8, value=<void>"
"main", "219", "ReadersWritersSemaphore.java:26", "Method Returned", ""
"main", "220", "ReadersWritersSemaphore.java:26", "Line Step", "file=ReadersWritersSemaphore.java, line=26"
"main", "221", "ReadersWritersSemaphore.java:26", "Variable Write", "context=ReadersWritersSemaphore#main:1, r8=Reader:8"
"main", "222", "ReadersWritersSemaphore.java:27", "Line Step", "file=ReadersWritersSemaphore.java, line=27"
"main", "223", "ReadersWritersSemaphore.java:27", "New Object", "object=Reader:9"
"main", "224", "ReadersWritersSemaphore.java:27", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:9#Reader:9"
"main", "225", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "226", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:9#Reader:9, d=Database:1"
"main", "227", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "228", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "229", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:9, d=Database:1"
"main", "230", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "231", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:9#Reader:9, value=<void>"
"main", "232", "ReadersWritersSemaphore.java:27", "Method Returned", ""
"main", "233", "ReadersWritersSemaphore.java:27", "Line Step", "file=ReadersWritersSemaphore.java, line=27"
"main", "234", "ReadersWritersSemaphore.java:27", "Variable Write", "context=ReadersWritersSemaphore#main:1, r9=Reader:9"
"main", "235", "ReadersWritersSemaphore.java:28", "Line Step", "file=ReadersWritersSemaphore.java, line=28"
"main", "236", "ReadersWritersSemaphore.java:28", "New Object", "object=Reader:10"
"main", "237", "ReadersWritersSemaphore.java:28", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Reader:10#Reader:10"
"main", "238", "ReadersWritersSemaphore.java:51", "Method Entered", ""
"main", "239", "ReadersWritersSemaphore.java:51", "Variable Write", "context=Reader:10#Reader:10, d=Database:1"
"main", "240", "ReadersWritersSemaphore.java:51", "Line Step", "file=ReadersWritersSemaphore.java, line=51"
"main", "241", "ReadersWritersSemaphore.java:52", "Line Step", "file=ReadersWritersSemaphore.java, line=52"
"main", "242", "ReadersWritersSemaphore.java:52", "Field Write", "context=Reader:10, d=Database:1"
"main", "243", "ReadersWritersSemaphore.java:53", "Line Step", "file=ReadersWritersSemaphore.java, line=53"
"main", "244", "ReadersWritersSemaphore.java:53", "Method Exit", "returner=Reader:10#Reader:10, value=<void>"
"main", "245", "ReadersWritersSemaphore.java:28", "Method Returned", ""
"main", "246", "ReadersWritersSemaphore.java:28", "Line Step", "file=ReadersWritersSemaphore.java, line=28"
"main", "247", "ReadersWritersSemaphore.java:28", "Variable Write", "context=ReadersWritersSemaphore#main:1, r10=Reader:10"
"main", "248", "ReadersWritersSemaphore.java:30", "Line Step", "file=ReadersWritersSemaphore.java, line=30"
"main", "249", "ReadersWritersSemaphore.java:31", "Line Step", "file=ReadersWritersSemaphore.java, line=31"
"Thread-0", "250", "SYSTEM", "Thread Start", "Thread-0 (31)"
"Thread-0", "251", "ReadersWritersSemaphore.java:75", "Method Call", "caller=SYSTEM, target=Writer:1#run:1"
"Thread-0", "252", "ReadersWritersSemaphore.java:74", "Method Entered", ""
"main", "253", "ReadersWritersSemaphore.java:32", "Line Step", "file=ReadersWritersSemaphore.java, line=32"
"Thread-1", "254", "SYSTEM", "Thread Start", "Thread-1 (32)"
"Thread-1", "255", "ReadersWritersSemaphore.java:75", "Method Call", "caller=SYSTEM, target=Writer:2#run:2"
"Thread-1", "256", "ReadersWritersSemaphore.java:74", "Method Entered", ""
"Thread-0", "257", "ReadersWritersSemaphore.java:74", "Variable Write", "context=Writer:1#run:1, i=0"
"Thread-0", "258", "ReadersWritersSemaphore.java:76", "Line Step", "file=ReadersWritersSemaphore.java, line=76"
"main", "259", "ReadersWritersSemaphore.java:33", "Line Step", "file=ReadersWritersSemaphore.java, line=33"
"Thread-2", "260", "SYSTEM", "Thread Start", "Thread-2 (33)"
"Thread-2", "261", "ReadersWritersSemaphore.java:75", "Method Call", "caller=SYSTEM, target=Writer:3#run:3"
"Thread-2", "262", "ReadersWritersSemaphore.java:74", "Method Entered", ""
"Thread-1", "263", "ReadersWritersSemaphore.java:74", "Variable Write", "context=Writer:2#run:2, i=0"
"Thread-1", "264", "ReadersWritersSemaphore.java:76", "Line Step", "file=ReadersWritersSemaphore.java, line=76"
"main", "265", "ReadersWritersSemaphore.java:34", "Line Step", "file=ReadersWritersSemaphore.java, line=34"
"Thread-5", "266", "SYSTEM", "Thread Start", "Thread-5 (38)"
"Thread-5", "267", "ReadersWritersSemaphore.java:56", "Method Call", "caller=SYSTEM, target=Reader:1#run:1"
"Thread-5", "268", "ReadersWritersSemaphore.java:55", "Method Entered", ""
"Thread-2", "269", "ReadersWritersSemaphore.java:74", "Variable Write", "context=Writer:3#run:3, i=0"
"Thread-2", "270", "ReadersWritersSemaphore.java:76", "Line Step", "file=ReadersWritersSemaphore.java, line=76"
"main", "271", "ReadersWritersSemaphore.java:35", "Line Step", "file=ReadersWritersSemaphore.java, line=35"
"Thread-6", "272", "SYSTEM", "Thread Start", "Thread-6 (39)"
"Thread-6", "273", "ReadersWritersSemaphore.java:56", "Method Call", "caller=SYSTEM, target=Reader:2#run:2"
"Thread-6", "274", "ReadersWritersSemaphore.java:55", "Method Entered", ""
"Thread-5", "275", "ReadersWritersSemaphore.java:55", "Variable Write", "context=Reader:1#run:1, i=0"
"Thread-5", "276", "ReadersWritersSemaphore.java:57", "Line Step", "file=ReadersWritersSemaphore.java, line=57"
"Thread-1", "277", "ReadersWritersSemaphore.java:78", "Line Step", "file=ReadersWritersSemaphore.java, line=78"
"main", "278", "ReadersWritersSemaphore.java:36", "Line Step", "file=ReadersWritersSemaphore.java, line=36"
"Thread-7", "279", "SYSTEM", "Thread Start", "Thread-7 (40)"
"Thread-7", "280", "ReadersWritersSemaphore.java:56", "Method Call", "caller=SYSTEM, target=Reader:3#run:3"
"Thread-7", "281", "ReadersWritersSemaphore.java:55", "Method Entered", ""
